date,test_year,sector,weight,sector_forward_return,contribution
20170102,2017,"회사본부,지주회사및경영컨설팅서비스업",0.4,0.06897652974802848,0.027590611899211394
20170102,2017,UNMAPPED_SECTOR,0.2,0.07144136249491351,0.014288272498982702
20170102,2017,반도체제조업,0.2,-0.012447720527384298,-0.0024895441054768597
20170102,2017,특수목적용기계제조업,0.2,-0.0580197131499659,-0.011603942629993182
20170202,2017,특수목적용기계제조업,0.2,0.057911224998283994,0.0115822449996568
20170202,2017,1차철강제조업,0.1,0.024569300519817094,0.0024569300519817097
20170202,2017,UNMAPPED_SECTOR,0.1,-0.003678527317555247,-0.0003678527317555247
20170202,2017,기초화학물질제조업,0.1,0.02886515194509265,0.002886515194509265
20170202,2017,기타식품제조업,0.1,-0.02331005921128393,-0.002331005921128393
20170202,2017,소프트웨어개발및공급업,0.1,-4.642787785869018e-05,-4.642787785869018e-06
20170202,2017,통신및방송장비제조업,0.1,0.16120118637774694,0.016120118637774693
20170202,2017,플라스틱제품제조업,0.1,-0.0723634487136301,-0.00723634487136301
20170202,2017,"회사본부,지주회사및경영컨설팅서비스업",0.1,0.3835182205192502,0.03835182205192503
20170306,2017,UNMAPPED_SECTOR,0.1,-0.006407530750699997,-0.0006407530750699997
20170306,2017,"구조용금속제품,탱크및증기발생기제조업",0.1,-0.14115831935022338,-0.01411583193502234
20170306,2017,소프트웨어개발및공급업,0.1,0.1492778449526333,0.01492778449526333
20170306,2017,"시멘트,석회,플라스터및그제품제조업",0.1,0.0858084472248557,0.00858084472248557
20170306,2017,영상및음향기기제조업,0.1,0.7959625160968764,0.07959625160968764
20170306,2017,의약품제조업,0.1,0.0623057075895872,0.00623057075895872
20170306,2017,자연과학및공학연구개발업,0.1,0.13790356025463346,0.013790356025463347
20170306,2017,전자부품제조업,0.1,0.02545334131550714,0.002545334131550714
20170306,2017,"측정,시험,항해,제어및기타정밀기기제조업;광학기기제외",0.1,-0.02488304064800051,-0.002488304064800051
20170306,2017,특수목적용기계제조업,0.1,0.17085430709919147,0.017085430709919146
20170404,2017,소프트웨어개발및공급업,0.2,-0.031813456277226315,-0.006362691255445263
20170404,2017,전자부품제조업,0.2,-0.051884577970797874,-0.010376915594159576
20170404,2017,UNMAPPED_SECTOR,0.1,0.0477414439192414,0.00477414439192414
20170404,2017,기초화학물질제조업,0.1,-0.0020425902266754115,-0.00020425902266754117
20170404,2017,기타화학제품제조업,0.1,0.03064252307169224,0.003064252307169224
20170404,2017,반도체제조업,0.1,0.05863791357560877,0.005863791357560877
20170404,2017,의약품제조업,0.1,-0.03686281133656433,-0.0036862811336564327
20170404,2017,회사본부및경영컨설팅서비스업,0.1,-0.0104358840172325,-0.00104358840172325
20170508,2017,의약품제조업,0.3,-0.10250797768553865,-0.030752393305661596
20170508,2017,기초의약물질제조업,0.1,0.03791520916368385,0.0037915209163683853
20170508,2017,소프트웨어개발및공급업,0.1,0.09073779344718114,0.009073779344718114
20170508,2017,영상및음향기기제조업,0.1,0.0741989534642733,0.0074198953464273305
20170508,2017,전자부품제조업,0.1,0.01841271402504896,0.001841271402504896
20170508,2017,통신및방송장비제조업,0.1,-0.06752842808434223,-0.006752842808434223
20170508,2017,특수목적용기계제조업,0.1,-0.06420699639369654,-0.006420699639369654
20170508,2017,회사본부및경영컨설팅서비스업,0.1,0.21652405011659126,0.021652405011659128
20170608,2017,전자부품제조업,0.3,-0.11877704334195394,-0.03563311300258618
20170608,2017,1차철강제조업,0.1,-0.02781893297792104,-0.002781893297792104
20170608,2017,도시락및식사용조리식품제조업,0.1,-0.08545757617533511,-0.008545757617533511
20170608,2017,반도체제조업,0.1,-0.01200589873533664,-0.001200589873533664
20170608,2017,봉제의복제조업,0.1,-0.02455052251656753,-0.0024550522516567533
20170608,2017,통신및방송장비제조업,0.1,-0.102241545548027,-0.010224154554802701
20170608,2017,특수목적용기계제조업,0.1,0.08113107747269455,0.008113107747269454
20170608,2017,회사본부및경영컨설팅서비스업,0.1,-0.0854424194466874,-0.00854424194466874
20170707,2017,전자부품제조업,0.2,-0.06013200106187011,-0.012026400212374022
20170707,2017,1차철강제조업,0.1,0.03253938750547647,0.003253938750547647
20170707,2017,"구조용금속제품,탱크및증기발생기제조업",0.1,0.08771261988683698,0.008771261988683698
20170707,2017,기초화학물질제조업,0.1,0.18674063021221454,0.018674063021221456
20170707,2017,봉제의복제조업,0.1,-0.011051875909847797,-0.0011051875909847797
20170707,2017,상품종합도매업,0.1,-0.019345354370180035,-0.0019345354370180036
20170707,2017,"시멘트,석회,플라스터및그제품제조업",0.1,-0.008781747534177264,-0.0008781747534177264
20170707,2017,자연과학및공학연구개발업,0.1,1.2665421759376745,0.12665421759376747
20170707,2017,"전동기,발전기및전기변환ㆍ공급ㆍ제어장치제조업",0.1,-0.06917287421957496,-0.006917287421957497
20170807,2017,전자부품제조업,0.4,-0.03712048116398181,-0.014848192465592725
20170807,2017,소프트웨어개발및공급업,0.2,-0.014287150790531444,-0.002857430158106289
20170807,2017,통신및방송장비제조업,0.2,0.07065252318280568,0.014130504636561137
20170807,2017,특수목적용기계제조업,0.2,-0.15707052343801886,-0.03141410468760377
20170906,2017,소프트웨어개발및공급업,0.2,-0.1039909764299185,-0.0207981952859837
20170906,2017,의약품제조업,0.2,0.05045958517154814,0.010091917034309629
20170906,2017,전자부품제조업,0.2,-0.1315784941139232,-0.02631569882278464
