date,portfolio_return,rolling_12_sharpe
20170102,0.013385819128244991,
20170202,0.05887105270314974,
20170306,0.12276817961859776,
20170404,-0.010353338251252842,
20170508,-0.002255928985278932,
20170608,-0.06322044994189846,
20170707,0.13210652247138088,
20170807,-0.020415639876507963,
20170906,-0.013452869933399114,
20171013,0.18808609049884795,
20171113,0.02660401781072763,
20171212,0.006998507084136962,1.7030960080000301
20180102,0.07894979755990184,1.9431277849330015
20180131,-0.053659648161064055,1.4225531507189093
20180306,0.028285805857938273,1.1556324586892528
20180404,-0.0013288768388957095,1.1961864167574878
20180504,0.07034847495251673,1.46971734338286
20180607,0.003978308836535049,1.8666423824841416
20180709,0.06568339183794447,1.7370596227300301
20180807,0.04002828360171251,2.0845326381543643
20180906,0.046606515486964595,2.4515421769135552
20181012,-0.0023999999999999577,2.368178406558199
20181112,-0.03562875707626301,1.7138722624819607
20181211,-0.0030000000000000027,1.6293113937149082
20190102,-0.0004999999999999449,1.201763768244079
20190131,0.005970295071285436,1.9714174467943972
20190307,0.046530156228044905,2.0749045751074844
20190405,-0.05967008162757448,1.2893438946665017
20190508,0.06740656585129257,1.2797624016893516
20190607,0.0922640685179148,1.6837689639759787
20190708,-0.026081087881227538,1.1045667623868656
20190806,-0.0018000000000000238,0.8457773219735323
20190905,0.01413334277826217,0.6549879438785007
20191010,0.015279646039588757,0.7757238617897191
20191108,0.006760609600524603,1.1247552103918863
20191209,-0.0005557488427210266,1.144574506911239
20200102,0.004267780129350696,1.1824139830767892
20200204,0.02036203819240301,1.2870503235528004
20200304,0.14004554925220591,1.4662486615415053
20200402,0.09565754444496744,2.440095683711695
20200507,0.12608358670727293,2.487488644978204
20200605,0.03851165943713042,2.3106892488156916
20200706,0.05670625049153988,2.942277773874759
20200804,0.03318163266063423,3.260557752573883
20200903,0.008569191271083909,3.2042828180706677
20201007,0.07991982352810689,3.588793953182179
20201106,0.061406829427863574,4.073660012008536
20201207,0.06375471269948352,4.816685923271447
20210104,0.01238189661413247,4.972849874792758
20210202,-0.012239705451993821,4.372598120031573
20210308,0.030522334862843836,4.374197695417679
20210406,-0.0027812901865884587,3.6713000432637286
20210506,-1.6992751285305197e-05,3.5532221965776554
20210607,0.012790677836582942,3.271586994978753
20210706,0.11527815460263535,2.995362218504453
20210804,-0.055588312608636836,1.9460337236992367
20210903,-0.1472619744208381,0.6665852429540793
20211008,-0.015668337427369172,0.27570029534309165
20211109,0.024492374759556457,0.11670538540983845
20211208,0.0065671415208157224,-0.15039006220795037
20220103,-0.06955615474530241,-0.5180477065258521
20220204,-0.010650830372507913,-0.5108311426888668
20220308,-0.0030000000000000027,-0.6766499567529412
20220407,-0.05900229233449794,-0.918459766328086
20220509,0.18124038184380864,-0.06875618714227477
20220609,0.027754471505937905,-0.018149071525529113
20220708,0.04645193495911726,-0.2697010934658721
20220808,-0.07051369999226187,-0.32008852992062814
20220907,-0.0614302627567509,-0.013678125832274094
20221012,-0.0023999999999999577,0.041158799110562826
20221110,0.04021048795158877,0.10520975964402965
20221209,0.0074487500911555315,0.10881441675245891
20230102,0.11253703283346628,0.8235251325154802
20230202,0.017862386939817787,0.9429316890800007
20230306,0.0523960134286654,1.1602754101243757
20230404,0.02689737566011363,1.6089527716295493
20230504,-0.006317530466381283,1.116285780137696
20230607,-0.08058256529551888,0.42251582464863524
20230706,0.012570304106221508,0.25512909731804906
20230804,-0.023414111364797985,0.5443378244988782
20230905,-0.09123793128338786,0.34595779482553485
20231011,0.06847721068472779,0.6828349443464916
20231109,0.11388104282218303,0.9393815624751104
20231208,0.04437471971524132,1.098154435336853
20240102,-0.013450784638520563,0.5970762340682487
20240131,-0.0027030929584705987,0.49552424806796247
20240305,0.048718311356802824,0.47942810124305457
20240403,-0.013620257597272922,0.2796739101180709
20240507,-0.018580847251178256,0.21800051049040825
20240607,-0.0035984590074771283,0.6652509813523021
20240708,-0.09263745255556044,0.07743208258364667
20240806,0.047875815953979606,0.41225748468559054
20240905,0.06562406105293928,1.2891255035562874
20241014,-0.07356563574176511,0.5041047101540143
20241112,-0.002773085020956634,-0.08569384572860458
20241211,-0.018826012658940905,-0.48366120359379466
20250102,0.048625492288312255,-0.09141215754819797
20250206,0.09031468343501259,0.4033477243364738
20250310,-0.0011999999999999789,0.14802468305021846
20250408,-0.0018000000000000238,0.21215741819694986
20250512,0.07523503221878824,0.6755867837177828
20250612,-0.01151805213141377,0.6328704943512868
20250711,0.03186458745607701,1.5281805369911712
20250811,0.011549891996100792,1.3266261022312178
20250910,0.08556243394070218,1.38573515335579
20251016,0.007739757860195651,2.3145926560218566
20251114,-0.0023999999999999577,2.3188077945355072
20251215,-0.01510403371589697,2.368892609339531
